#SUBMITTED ID	FBID_KEY	AFFECTED_GENES	INSERTED_ELEMENT	LOCATION_STRAND	NAME	STOCKS	SYMBOL
FBti0187538	FBti0187538	Tsp97E	Mi{Trojan-GAL4.0}	-1	-	76167 y[1] w[*]; Mi{Trojan-GAL4.0}Tsp97E[MI04380-TG4.0]/TM3, Sb[1] Ser[1]	Mi{Trojan-GAL4.0}Tsp97E[MI04380-TG4.0]
FBti0187539	FBti0187539	GEFmeso	Mi{Trojan-GAL4.1}	-1	-	76168 y[1] w[*]; Mi{Trojan-GAL4.1}GEFmeso[MI04600-TG4.1]	Mi{Trojan-GAL4.1}GEFmeso[MI04600-TG4.1]
FBti0187540	FBti0187540	Usp10	Mi{Trojan-GAL4.1}	-1	-	76169 y[1] w[*]; Mi{Trojan-GAL4.1}Usp10[MI04942-TG4.1]/TM3, Sb[1] Ser[1]	Mi{Trojan-GAL4.1}Usp10[MI04942-TG4.1]
FBti0187541	FBti0187541	ex	Mi{Trojan-GAL4.1}	1	-	76170 y[1] w[*]; Mi{Trojan-GAL4.1}ex[MI05004-TG4.1]	Mi{Trojan-GAL4.1}ex[MI05004-TG4.1]
FBti0187544	FBti0187544	Samuel	Mi{Trojan-GAL4.1}	1	-	76173 y[1] w[*]; Mi{Trojan-GAL4.1}Samuel[MI05204-TG4.1]/SM6a	Mi{Trojan-GAL4.1}Samuel[MI05204-TG4.1]
FBti0187545	FBti0187545	CG7997	Mi{Trojan-GAL4.2}	-1	-	76174 y[1] w[*]; Mi{Trojan-GAL4.2}CG7997[MI05592-TG4.2]	Mi{Trojan-GAL4.2}CG7997[MI05592-TG4.2]
FBti0187547	FBti0187547	superdeath	Mi{Trojan-GAL4.1}	1	-	76176 y[1] w[*]; Mi{Trojan-GAL4.1}superdeath[MI05739-TG4.1]/TM3, Sb[1] Ser[1]	Mi{Trojan-GAL4.1}superdeath[MI05739-TG4.1]
FBti0187548	FBti0187548	Pax	Mi{Trojan-GAL4.1}	-1	-	76178 y[1] w[*]; Mi{Trojan-GAL4.1}Pax[MI05908-TG4.1]	Mi{Trojan-GAL4.1}Pax[MI05908-TG4.1]
FBti0187549	FBti0187549	rn	Mi{Trojan-GAL4.0}	1	-	76179 y[1] w[*]; Mi{Trojan-GAL4.0}rn[MI05987-TG4.0]/TM3, Sb[1] Ser[1]	Mi{Trojan-GAL4.0}rn[MI05987-TG4.0]
FBti0187551	FBti0187551	CG2082	Mi{Trojan-GAL4.0}	-1	-	76181 y[1] w[*]; Mi{Trojan-GAL4.0}CG2082[MI06537-TG4.0]/TM3, Sb[1] Ser[1]	Mi{Trojan-GAL4.0}CG2082[MI06537-TG4.0]
FBti0187554	FBti0187554	rl	Mi{Trojan-GAL4.0}	1	-	76184 y[1] w[*]; Mi{Trojan-GAL4.0}rl[MI07033-TG4.0]/SM6a	Mi{Trojan-GAL4.0}rl[MI07033-TG4.0]
FBti0187555	FBti0187555	Nha2	Mi{Trojan-GAL4.0}	-1	-	76185 y[1] w[*]; Mi{Trojan-GAL4.0}Nha2[MI07360-TG4.0]	Mi{Trojan-GAL4.0}Nha2[MI07360-TG4.0]
FBti0187557	FBti0187557	NimB2	Mi{Trojan-GAL4.2}	-1	-	76187 y[1] w[*]; Mi{Trojan-GAL4.2}NimB2[MI07504-TG4.2]	Mi{Trojan-GAL4.2}NimB2[MI07504-TG4.2]
FBti0187558	FBti0187558	TrpA1	Mi{Trojan-GAL4.0}	1	-	76188 y[1] w[*]; Mi{Trojan-GAL4.0}TrpA1[MI07645-TG4.0]	Mi{Trojan-GAL4.0}TrpA1[MI07645-TG4.0]
FBti0187560	FBti0187560	RapGAP1	Mi{Trojan-GAL4.0}	-1	-	76190 y[1] w[*]; Mi{Trojan-GAL4.0}RapGAP1[MI07759-TG4.0]/CyO	Mi{Trojan-GAL4.0}RapGAP1[MI07759-TG4.0]
FBti0187561	FBti0187561	vari	Mi{Trojan-GAL4.0}	-1	-	76191 y[1] w[*]; Mi{Trojan-GAL4.0}vari[MI08013-TG4.0]	Mi{Trojan-GAL4.0}vari[MI08013-TG4.0]
FBti0187563	FBti0187563	bin3	Mi{Trojan-GAL4.0}	-1	-	76193 y[1] w[*]; Mi{Trojan-GAL4.0}bin3[MI08045-TG4.0]/SM6a	Mi{Trojan-GAL4.0}bin3[MI08045-TG4.0]
FBti0187564	FBti0187564	ine	Mi{Trojan-GAL4.1}	1	-	76194 y[1] w[*]; Mi{Trojan-GAL4.1}ine[MI08294-TG4.1]	Mi{Trojan-GAL4.1}ine[MI08294-TG4.1]
FBti0187565	FBti0187565	sick	Mi{Trojan-GAL4.0}	1	-	76195 y[1] w[*]; Mi{Trojan-GAL4.0}sick[MI08398-TG4.0]/SM6a	Mi{Trojan-GAL4.0}sick[MI08398-TG4.0]
FBti0187567	FBti0187567	Dgk	Mi{Trojan-GAL4.1}	1	-	76197 y[1] w[*]; Mi{Trojan-GAL4.1}Dgk[MI08614-TG4.1]	Mi{Trojan-GAL4.1}Dgk[MI08614-TG4.1]
FBti0187571	FBti0187571	gem	Mi{Trojan-GAL4.1}	1	-	76201 y[1] w[*]; Mi{Trojan-GAL4.1}gem[MI08721-TG4.1]	Mi{Trojan-GAL4.1}gem[MI08721-TG4.1]
FBti0187573	FBti0187573	nrv1	Mi{Trojan-GAL4.1}	1	-	76203 y[1] w[*]; Mi{Trojan-GAL4.1}nrv1[MI09425-TG4.1]	Mi{Trojan-GAL4.1}nrv1[MI09425-TG4.1]
FBti0187576	FBti0187576	Trpm	Mi{Trojan-GAL4.0}	1	-	76206 y[1] w[*]; Mi{Trojan-GAL4.0}Trpm[MI09739-TG4.0]/SM6a	Mi{Trojan-GAL4.0}Trpm[MI09739-TG4.0]
FBti0187577	FBti0187577	ko	Mi{Trojan-GAL4.0}	1	-	76207 y[1] w[*]; Mi{Trojan-GAL4.0}ko[MI10038-TG4.0]/TM3, Sb[1] Ser[1]	Mi{Trojan-GAL4.0}ko[MI10038-TG4.0]
FBti0187578	FBti0187578	TkR99D	Mi{Trojan-GAL4.2}	-1	-	76208 y[1] w[*]; Mi{Trojan-GAL4.2}TkR99D[MI10336-TG4.2]	Mi{Trojan-GAL4.2}TkR99D[MI10336-TG4.2]
FBti0187579	FBti0187579	lili	Mi{Trojan-GAL4.0}	1	-	76209 y[1] w[*]; Mi{Trojan-GAL4.0}lili[MI10456-TG4.0]/TM3, Sb[1] Ser[1]	Mi{Trojan-GAL4.0}lili[MI10456-TG4.0]
FBti0187580	FBti0187580	Pld	Mi{Trojan-GAL4.1}	-1	-	-	Mi{Trojan-GAL4.1}Pld[MI10699-TG4.1]
FBti0187582	FBti0187582	CG8519	Mi{Trojan-GAL4.1}	-1	-	76212 y[1] w[*]; Mi{Trojan-GAL4.1}CG8519[MI11098-TG4.1]/TM3, Sb[1] Ser[1]	Mi{Trojan-GAL4.1}CG8519[MI11098-TG4.1]
FBti0187583	FBti0187583	twf	Mi{Trojan-GAL4.0}	1	-	76213 y[1] w[*]; Mi{Trojan-GAL4.0}twf[MI11124-TG4.0]/TM3, Sb[1] Ser[1]	Mi{Trojan-GAL4.0}twf[MI11124-TG4.0]
FBti0187586	FBti0187586	Shrm	Mi{Trojan-GAL4.2}	1	-	76216 y[1] w[*]; Mi{Trojan-GAL4.2}Shrm[MI11715-TG4.2]	Mi{Trojan-GAL4.2}Shrm[MI11715-TG4.2]
FBti0187587	FBti0187587	nvy	Mi{Trojan-GAL4.0}	-1	-	76217 y[1] w[*]; Mi{Trojan-GAL4.0}nvy[MI11794-TG4.0]	Mi{Trojan-GAL4.0}nvy[MI11794-TG4.0]
FBti0187588	FBti0187588	fdl	Mi{Trojan-GAL4.2}	-1	-	76218 y[1] w[*]; Mi{Trojan-GAL4.2}fdl[MI12017-TG4.2]/SM6a	Mi{Trojan-GAL4.2}fdl[MI12017-TG4.2]
FBti0187590	FBti0187590	Got1	Mi{Trojan-GAL4.0}	-1	-	76220 y[1] w[*]; Mi{Trojan-GAL4.0}Got1[MI12259-TG4.0]/SM6a	Mi{Trojan-GAL4.0}Got1[MI12259-TG4.0]
FBti0187591	FBti0187591	par-1	Mi{Trojan-GAL4.2}	1	-	76221 y[1] w[*]; Mi{Trojan-GAL4.2}par-1[MI12277-TG4.2]	Mi{Trojan-GAL4.2}par-1[MI12277-TG4.2]
FBti0187592	FBti0187592	Khc-73	Mi{Trojan-GAL4.1}	-1	-	76222 y[1] w[*]; Mi{Trojan-GAL4.1}Khc-73[MI12387-TG4.1]/SM6a	Mi{Trojan-GAL4.1}Khc-73[MI12387-TG4.1]
FBti0187593	FBti0187593	Gbs-70E	Mi{Trojan-GAL4.2}	1	-	76223 y[1] w[*]; Mi{Trojan-GAL4.2}Gbs-70E[MI12456-TG4.2]	Mi{Trojan-GAL4.2}Gbs-70E[MI12456-TG4.2]
FBti0187595	FBti0187595	Cht7	Mi{Trojan-GAL4.1}	-1	-	76225 y[1] w[*]; Mi{Trojan-GAL4.1}Cht7[MI12799-TG4.1]/TM3, Sb[1] Ser[1]	Mi{Trojan-GAL4.1}Cht7[MI12799-TG4.1]
FBti0187596	FBti0187596	Rho1	Mi{Trojan-GAL4.0}	-1	-	76226 y[1] w[*]; Mi{Trojan-GAL4.0}Rho1[MI13162-TG4.0]	Mi{Trojan-GAL4.0}Rho1[MI13162-TG4.0]
FBti0187597	FBti0187597	beat-IIIb	Mi{Trojan-GAL4.1}	1	-	76227 y[1] w[*]; Mi{Trojan-GAL4.1}beat-IIIb[MI13179-TG4.1]/CyO	Mi{Trojan-GAL4.1}beat-IIIb[MI13179-TG4.1]
FBti0187598	FBti0187598	CG18641	Mi{Trojan-GAL4.1}	-1	-	76228 y[1] w[*]; Mi{Trojan-GAL4.1}CG18641[MI13307-TG4.1]/SM6a	Mi{Trojan-GAL4.1}CG18641[MI13307-TG4.1]
FBti0187599	FBti0187599	Tsp96F	Mi{Trojan-GAL4.0}	1	-	76229 y[1] w[*]; Mi{Trojan-GAL4.0}Tsp96F[MI13401-TG4.0]/TM3, Sb[1] Ser[1]	Mi{Trojan-GAL4.0}Tsp96F[MI13401-TG4.0]
FBti0187600	FBti0187600	PyK	Mi{Trojan-GAL4.0}	-1	-	76230 y[1] w[*]; Mi{Trojan-GAL4.0}PyK[MI13574-TG4.0]/TM3, Sb[1] Ser[1]	Mi{Trojan-GAL4.0}PyK[MI13574-TG4.0]
FBti0187601	FBti0187601	Rab26	Mi{Trojan-GAL4.0}	-1	-	76231 y[1] w[*]; Mi{Trojan-GAL4.0}Rab26[MI13586-TG4.0]/TM3, Sb[1] Ser[1]	Mi{Trojan-GAL4.0}Rab26[MI13586-TG4.0]
FBti0187603	FBti0187603	Nak	Mi{Trojan-GAL4.1}	-1	-	76233 y[1] w[*]; Mi{Trojan-GAL4.1}Nak[MI14315-TG4.1]	Mi{Trojan-GAL4.1}Nak[MI14315-TG4.1]
FBti0187605	FBti0187605	CG3961	Mi{Trojan-GAL4.0}	1	-	76235 y[1] w[*]; Mi{Trojan-GAL4.0}CG3961[MI15302-TG4.0]	Mi{Trojan-GAL4.0}CG3961[MI15302-TG4.0]
FBti0195352	FBti0195352	eIF5B	Mi{Trojan-GAL4.1}	1	-	76619 y[1] w[*]; Mi{Trojan-GAL4.1}eIF5B[MI00125-TG4.1]/TM3, Sb[1] Ser[1]	Mi{Trojan-GAL4.1}eIF5B[MI00125-TG4.1]
FBti0195353	FBti0195353	CG4341	Mi{Trojan-GAL4.2}	-1	-	76620 y[1] w[*]; Mi{Trojan-GAL4.2}CG4341[MI00283-TG4.2]/CyO	Mi{Trojan-GAL4.2}CG4341[MI00283-TG4.2]
FBti0195354	FBti0195354	CG31810	Mi{Trojan-GAL4.1}	1	-	76621 y[1] w[*]; Mi{Trojan-GAL4.1}CG31810[MI00391-TG4.1]/SM6a	Mi{Trojan-GAL4.1}CG31810[MI00391-TG4.1]
FBti0195357	FBti0195357	sprt	Mi{Trojan-GAL4.0}	-1	-	76624 y[1] w[*]; Mi{Trojan-GAL4.0}sprt[MI01099-TG4.0]/SM6a	Mi{Trojan-GAL4.0}sprt[MI01099-TG4.0]
FBti0195358	FBti0195358	Nep2	Mi{Trojan-GAL4.2}	1	-	76625 y[1] w[*]; Mi{Trojan-GAL4.2}Nep2[MI01118-TG4.2]	Mi{Trojan-GAL4.2}Nep2[MI01118-TG4.2]
FBti0195359	FBti0195359	mspo	Mi{Trojan-GAL4.1}	1	-	76626 y[1] w[*]; Mi{Trojan-GAL4.1}mspo[MI01146-TG4.1]	Mi{Trojan-GAL4.1}mspo[MI01146-TG4.1]
FBti0195360	FBti0195360	Pss	Mi{Trojan-GAL4.2}	-1	-	76627 y[1] w[*]; Mi{Trojan-GAL4.2}Pss[MI01234-TG4.2]/TM3, Sb[1] Ser[1]	Mi{Trojan-GAL4.2}Pss[MI01234-TG4.2]
