#SUBMITTED ID	FBID_KEY	AFFECTED_GENES	INSERTED_ELEMENT	LOCATION_STRAND	NAME	STOCKS	SYMBOL
FBti0202689	FBti0202689	CG5853	TI{CRIMIC.TG4.1}	-1	-	81189 y[1] w[*]; TI{CRIMIC.TG4.1}CG5853[CR01143-TG4.1]	TI{CRIMIC.TG4.1}CG5853[CR01143-TG4.1]
FBti0202690	FBti0202690	robo3	TI{CRIMIC.TG4.1}	1	-	81190 y[1] w[*]; TI{CRIMIC.TG4.1}robo3[CR01144-TG4.1]/SM6a	TI{CRIMIC.TG4.1}robo3[CR01144-TG4.1]
FBti0202692	FBti0202692	Drgx	TI{CRIMIC.TG4.1}	1	-	81192 y[1] w[*]; TI{CRIMIC.TG4.1}Drgx[CR01147-TG4.1]/SM6a	TI{CRIMIC.TG4.1}Drgx[CR01147-TG4.1]
FBti0202693	FBti0202693	EcR	TI{CRIMIC.TG4.1}	-1	-	81193 y[1] w[*]; TI{CRIMIC.TG4.1}EcR[CR01148-TG4.1]/SM6a	TI{CRIMIC.TG4.1}EcR[CR01148-TG4.1]
FBti0202695	FBti0202695	ATP8A <newline> CG30060	TI{CRIMIC.TG4.1}	-1	-	81195 y[1] w[*]; TI{CRIMIC.TG4.1}ATP8A[CR01153-TG4.1] CG30060[CR01153-TG4.1-X]/SM6a	TI{CRIMIC.TG4.1}ATP8A[CR01153-TG4.1]
FBti0202696	FBti0202696	Grd	TI{CRIMIC.TG4.1}	1	-	81196 y[1] w[*]; TI{CRIMIC.TG4.1}Grd[CR01154-TG4.1]	TI{CRIMIC.TG4.1}Grd[CR01154-TG4.1]
FBti0202697	FBti0202697	Rh4 <newline> sina	TI{CRIMIC.TG4.1}	-1	-	81197 y[1] w[*]; TI{CRIMIC.TG4.1}Rh4[CR01155-TG4.1] sina[CR01155-TG4.1-X]/TM3, Sb[1] Ser[1]	TI{CRIMIC.TG4.1}Rh4[CR01155-TG4.1]
FBti0202698	FBti0202698	Herc4	TI{CRIMIC.TG4.1}	1	-	81198 y[1] w[*]; TI{CRIMIC.TG4.1}Herc4[CR01156-TG4.1]	TI{CRIMIC.TG4.1}Herc4[CR01156-TG4.1]
FBti0202699	FBti0202699	MnM	TI{CRIMIC.TG4.1}	-1	-	81199 y[1] w[*]; TI{CRIMIC.TG4.1}MnM[CR01157-TG4.1]	TI{CRIMIC.TG4.1}MnM[CR01157-TG4.1]
FBti0202700	FBti0202700	lqfR	TI{CRIMIC.TG4.2}	1	-	81200 y[1] w[*]; TI{CRIMIC.TG4.2}lqfR[CR01162-TG4.2]/TM3, Sb[1] Ser[1]	TI{CRIMIC.TG4.2}lqfR[CR01162-TG4.2]
